correct-config,num-nodes,txns-sent,txn-validation,block-management,block-dissemination,decide,commit
narwhal_blk_size=1048576+diem_blk_len=1,4,2696943.3333333335,2693432.0,1855192.299264132,1733419.7700411512,1696943.3333333333,1696943.3333333333
narwhal_blk_size=1048576+diem_blk_len=1,8,2109487.3333333335,2093885.6666666667,1554225.28577315,1333118.901912587,1109487.3333333333,1109487.3333333333
narwhal_blk_size=1048576+diem_blk_len=1,12,2058697.6666666667,2056825.3333333333,1494788.9801562408,1416955.6723480253,1058697.6666666667,1058697.6666666667
narwhal_blk_size=1048576+diem_blk_len=1,16,1768612.0,1767902.0,1215356.0810852952,1122671.600838207,768612.0,768612.0
narwhal_blk_size=1048576+diem_blk_len=1,20,1636202.3333333333,1636202.3333333333,1109075.4292234418,1015511.4959621276,636202.3333333334,636202.3333333334
narwhal_blk_size=1048576+diem_blk_len=1,24,1594013.0,1592921.6666666667,1088079.6325940883,1005889.9860516131,594013.0,594013.0
narwhal_blk_size=1048576+diem_blk_len=1,28,1502022.3333333333,1501955.6666666667,1039580.5400412969,940027.5260617222,502022.3333333333,502022.3333333333
narwhal_blk_size=1048576+diem_blk_len=1,32,1388772.0,1388705.3333333333,921418.7664991872,841191.45655978,388772.0,388772.0
narwhal_blk_size=1048576+diem_blk_len=1,36,1274072.0,1273772.0,785932.2683784907,725162.7067767074,274072.0,274072.0
narwhal_blk_size=1048576+diem_blk_len=1,40,1224394.3333333333,1224039.3333333333,703949.954558503,633727.8849408785,224394.33333333334,224394.33333333334
narwhal_blk_size=1048576+diem_blk_len=1,44,1204212.6666666667,1204212.6666666667,639038.9211977936,559713.7027186761,205112.66666666666,205112.66666666666
narwhal_blk_size=1048576+diem_blk_len=1,48,1154391.0,1154391.0,532046.7868070265,443372.3860900341,154391.0,154391.0
narwhal_blk_size=1048576+diem_blk_len=1,52,1154756.3333333333,1154689.6666666667,514197.41942552547,419628.1134360759,154756.33333333334,154756.33333333334
narwhal_blk_size=1048576+diem_blk_len=1,56,1144367.3333333333,1143639.3333333333,471911.6636944937,373934.07892449806,144367.33333333334,144367.33333333334
narwhal_blk_size=1048576+diem_blk_len=1,60,1129974.6666666667,1129974.6666666667,415393.14586014586,320172.9603174603,129974.66666666667,129974.66666666667
narwhal_blk_size=1048576+diem_blk_len=1,64,1112327.0,1111425.6666666667,349760.4479460151,252363.61490144327,112327.0,112327.0
