,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms
,,mean,std,mean,std,mean,std,mean,std,mean,std
correct-config,num-nodes,,,,,,,,,,
blk_size=104857+max_inflight_blk=10,10,5139.6185185185195,,21.679614555555553,,0.0,,0.0,,0.21379837989201023,
blk_size=104857+max_inflight_blk=10,20,7277.503703703705,,40.73621511111111,,2.3963632790876564e-06,,11.032253,,0.19397550798170554,
blk_size=104857+max_inflight_blk=10,30,5552.592592592592,,56.51619022222222,,2.1012494028949614e-05,,52.9646284,,0.22388465895057555,
blk_size=104857+max_inflight_blk=10,40,5077.1518518518515,,69.03314177777777,,3.5843284965380505e-05,,40.89997105714286,,0.26018104246543045,
blk_size=104857+max_inflight_blk=10,50,4913.907407407408,,80.41877177777776,,5.265179966319302e-05,,63.373505015625,,0.33196142779212384,
blk_size=1048576+max_inflight_blk=1,10,5340.377777777778,,19.355823444444443,,7.363770250368188e-05,,11.3573735,,0.22430307846243022,
blk_size=1048576+max_inflight_blk=1,20,4821.740740740741,,33.72846966666666,,0.0,,0.0,,0.35035062719121274,
blk_size=1048576+max_inflight_blk=1,30,4851.925925925926,,48.711951444444445,,4.0941658137154556e-05,,24.941687666666667,,0.3712584380526176,
blk_size=1048576+max_inflight_blk=1,40,4783.681481481482,,62.23436211111112,,4.152651467962294e-05,,38.6715205,,0.40484035911222227,
blk_size=26214+max_inflight_blk=40,10,4669.537037037037,,21.513366444444443,,0.0,,0.0,,0.15026121663994155,
blk_size=26214+max_inflight_blk=40,20,5546.0,,42.194336222222226,,0.0,,0.0,,0.1485103559647809,
blk_size=26214+max_inflight_blk=40,30,5719.203703703704,,56.943535999999995,,3.460229631974749e-05,,31.916663068965526,,0.154467493314911,
blk_size=26214+max_inflight_blk=40,40,5189.148148148149,,65.90247500000001,,3.058075743343204e-05,,64.95982405660378,,0.17713231030213994,
blk_size=26214+max_inflight_blk=40,50,4448.4629629629635,,75.10953044444445,,5.3679377209112834e-05,,61.4487539957265,,0.2122011820582,
blk_size=26214+max_inflight_blk=40,60,4424.092592592593,,84.76331788888889,,7.484621507080807e-05,,50.862399631284916,,0.3206509586084593,
blk_size=52428+max_inflight_blk=20,10,4641.362962962962,,21.56251566666667,,0.0,,0.0,,0.20070857906334227,
blk_size=52428+max_inflight_blk=20,20,7243.444444444443,,41.445519555555556,,0.0,,0.0,,0.15616555012940062,
blk_size=52428+max_inflight_blk=20,30,5601.944444444445,,56.743518333333334,,1.9576780131676436e-05,,20.222372692307694,,0.18189521042449733,
blk_size=52428+max_inflight_blk=20,40,5207.637037037038,,68.12445955555556,,2.1619626402309608e-05,,32.505787707317076,,0.20594292133546,
blk_size=52428+max_inflight_blk=20,50,4726.477777777778,,77.58281700000002,,4.660361083050655e-05,,32.75384777777778,,0.2659101358715159,
