,time,node,commits
20,30.0,18,119600
21,30.0,13,117360
22,30.0,12,116760
23,30.0,2,129800
24,30.0,17,116280
25,30.0,1,116760
26,30.0,10,116520
27,30.0,4,116640
28,30.0,0,117280
29,30.0,14,116640
30,30.0,15,116560
31,30.0,16,116800
32,30.0,19,117040
33,30.0,6,116800
34,30.0,7,117280
35,30.0,3,119720
36,30.0,5,116680
37,30.0,9,117680
38,30.0,11,116880
39,30.0,8,116840
40,60.0,6,116080
41,60.0,0,115960
42,60.0,14,116200
43,60.0,12,116080
44,60.0,5,115600
45,60.0,15,116440
46,60.0,10,115680
47,60.0,19,116320
48,60.0,11,116280
49,60.0,3,132880
50,60.0,9,116360
51,60.0,8,115760
52,60.0,4,115800
53,60.0,13,117840
54,60.0,2,118200
55,60.0,1,115760
56,60.0,17,116320
57,60.0,7,115520
58,60.0,18,115720
59,60.0,16,115360
60,90.0,8,115680
61,90.0,15,116320
62,90.0,19,117080
63,90.0,1,119080
64,90.0,14,115720
65,90.0,16,116280
66,90.0,17,116480
67,90.0,11,116280
68,90.0,7,115520
69,90.0,18,116600
70,90.0,5,116600
71,90.0,2,116760
72,90.0,12,115320
73,90.0,9,116280
74,90.0,10,115240
75,90.0,6,116160
76,90.0,0,115720
77,90.0,13,124400
78,90.0,4,116680
79,90.0,3,128120
80,120.0,15,116800
81,120.0,9,116680
82,120.0,10,117920
83,120.0,14,117240
84,120.0,16,117360
85,120.0,8,116800
86,120.0,5,117120
87,120.0,18,116920
88,120.0,12,117080
89,120.0,4,117840
90,120.0,7,117880
91,120.0,11,116920
92,120.0,17,117560
93,120.0,2,120040
94,120.0,19,118960
95,120.0,0,117320
96,120.0,1,124120
97,120.0,13,125040
98,120.0,6,117560
99,120.0,3,118600
100,150.0,0,117360
101,150.0,5,117200
102,150.0,9,117240
103,150.0,1,127280
104,150.0,17,116720
105,150.0,15,117000
106,150.0,7,116840
107,150.0,6,117920
108,150.0,11,117360
109,150.0,12,117800
110,150.0,16,116920
111,150.0,10,117600
112,150.0,18,117760
113,150.0,19,117520
114,150.0,3,118600
115,150.0,4,117880
116,150.0,2,120040
117,150.0,13,129520
118,150.0,8,117680
119,150.0,14,117120
120,180.0,10,117280
121,180.0,17,117720
122,180.0,7,117760
123,180.0,14,117320
124,180.0,8,117800
125,180.0,4,117640
126,180.0,11,117200
127,180.0,0,117560
128,180.0,18,117520
129,180.0,2,118760
130,180.0,15,117800
131,180.0,9,117800
132,180.0,5,117560
133,180.0,13,126040
134,180.0,12,116920
135,180.0,3,117880
136,180.0,19,117840
137,180.0,16,117000
138,180.0,1,122920
139,180.0,6,117080
140,210.0,7,114520
141,210.0,14,114720
142,210.0,17,113880
143,210.0,9,115120
144,210.0,13,114320
145,210.0,12,114960
146,210.0,5,113360
147,210.0,15,115600
148,210.0,11,115520
149,210.0,6,114400
150,210.0,18,114600
151,210.0,0,115320
152,210.0,1,135960
153,210.0,19,115320
154,210.0,8,115720
155,210.0,16,115680
