,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
correct-type,num-faulty,,,,,,,,,,,,
Basic,0,1639.8690476190477,0.42089689356308424,41.996385499999995,0.7312921564539787,3.5564137746841855e-06,7.698265828388923e-07,203.8983415952381,49.063140235270964,0.024172209983334945,1.9629452709874814e-05,0.7665255800328763,0.0019033343047942114
Basic,2,1653.3333333333335,13.064639576208597,41.392518,0.5639847321252281,5.884123372426039e-06,6.054328083074511e-06,177.9210363350649,4.771531658268301,0.02475618933777121,0.00022277067362659107,0.7652647826854706,0.005306290908736538
Basic,4,1606.1825396825398,9.756337940413742,40.78867795238096,0.41316245356778436,8.273578342757079e-07,1.028554370518364e-06,186.82358032051283,43.28430576668671,0.02504690803421945,0.00038019871327017426,0.759185074963373,0.001978115894504982
Basic,6,1507.445767195767,158.6784945847957,41.34739434920635,0.9325967424175668,2.5595297415793803e-06,1.8961642324569059e-06,181.14917482107845,56.672460232197906,0.02641095729398436,0.0008409907792124514,0.7579024481004809,0.005028210960849882
Basic,8,239.7296296296296,58.574223224362534,44.56408391111111,0.8177026810123659,2.822108153656421e-06,3.490043034164823e-06,37.142262060606065,42.15125631891183,0.027556245818751518,0.0008499376604464531,0.7880735018683661,0.003269022026345275
Basic,10,15.535555555555556,26.90837154603116,46.75713563333333,0.14179511841781758,0.0,0.0,0.0,0.0,0.021035728602333437,0.0005187013369517114,0.7974541197231142,0.004366981857988259
Basic,12,3.689629629629629,6.37139065903521,44.87629722222223,0.6332999548722819,0.0,0.0,0.0,0.0,0.021408379727930055,0.00010431445261116692,0.7860210036951806,0.0025468488495246043
Basic,14,0.0,,,,,,,,,,,
Basic,16,0.0,,,,,,,,,,,
Basic,18,0.0,,,,,,,,,,,
Basic,20,0.0,,,,,,,,,,,
Blizzard,0,1641.0793650793648,14.095244798368165,41.61840971428572,0.6397787121627032,2.585493527184406e-06,3.851537859385154e-06,197.96262513002364,83.40710148816815,0.02426958650882116,0.00018749767783999823,0.7662855453081193,0.005741829522917069
Blizzard,2,1791.5396825396826,187.49128677159456,41.64677476190476,0.557964319718111,1.8237713817062182e-06,3.813959235493453e-07,123.1627454034188,42.58075803564035,0.024374691065109085,0.0003593399170943247,0.7642096753470975,0.0031753351746161168
Blizzard,4,1861.5873015873015,167.97563250106995,40.95841028571429,0.1504641064701342,3.5406682634689293e-06,4.247920227321222e-06,125.66432527011493,36.45090659077058,0.02443104966463488,0.0002767743194868975,0.7600129747988035,0.004935533330387476
Blizzard,6,1676.4285714285713,9.968573066371833,39.51538404761905,0.5210451194822472,2.2541147573491497e-06,1.6904274730317336e-06,103.23896494163863,66.96129392730336,0.025005878597768687,1.2914085427301543e-05,0.7492968884244604,0.0051579438087053925
Blizzard,8,1900.9444444444443,143.12391823618225,38.824540047619045,0.9396855692103883,8.282972767031802e-07,4.1930216259407636e-07,38.12359076944445,24.681510523797325,0.024634711026221518,0.00043753008971715097,0.7361193997386897,0.002491235963524437
Blizzard,10,1799.7539682539682,179.34266839202343,37.1382989047619,0.16143519138513293,5.58843792430215e-08,9.679458419836078e-08,3.739785,6.477497629383974,0.025678945531089986,0.00011279010097884014,0.7288798056194251,0.001537684116957851
Blizzard,12,1853.2063492063492,197.26928361250663,36.33562838095238,0.20533808348504481,0.0,0.0,0.0,0.0,0.025665000161323753,8.586580814775716e-05,0.7143095501812365,0.0023717494585915023
Blizzard,14,1946.4682539682537,176.41229655243822,34.470092,0.6781073448216474,2.9492214068425336e-07,3.6757002654423316e-07,6.9418611666666665,6.0142813190973685,0.026121951429702122,0.0001663140428519222,0.70471942250006,0.004386374944057069
Blizzard,16,1791.2460317460318,75.32749485733272,33.93484242857142,0.1948753356909883,0.0,0.0,0.0,0.0,0.026518190241443845,0.0003516220090608999,0.6984822962147123,0.0013199777880608138
Blizzard,18,1912.8079365079366,97.70477772517073,33.495241666666665,0.5269010564275838,0.0,0.0,0.0,0.0,0.025644590111295208,3.602984046728037e-05,0.7061738536212023,0.008115583582846909
Blizzard,20,1938.147619047619,21.050991434201144,33.97775595238095,0.5889611044287123,4.508122918001954e-06,4.147884754538107e-06,10.461202201612904,9.084344845101903,0.024454473587670233,6.816430128128014e-05,0.7070390227609357,0.0012625956145980244
