correct-type,num-faulty,queries-succeeded,queries-failed,success-rate
Basic,0,32227.34375,112.5,0.9930491226467935
Basic,2,33446.82236842105,115.36184210526316,0.992970654169857
Basic,4,32053.47685185185,1167.4537037037037,0.9606195736317189
Basic,6,24801.629411764705,3677.2627450980394,0.8662938763551588
Basic,8,8569.484375,4496.463541666667,0.6495488822490324
Basic,10,5333.473333333333,5566.943333333334,0.48178480133548396
Basic,12,3873.9357142857143,7082.094047619048,0.3463248255790738
Basic,14,2737.128205128205,8506.179487179486,0.24084195710116416
Basic,16,1930.9625,9743.266666666666,0.16309455807856188
Basic,18,1166.1909090909091,10566.021212121212,0.09958160462375684
Basic,20,615.3366666666667,11262.205,0.051583941228775305
Blizzard,0,31768.166666666668,108.91666666666667,0.9928638642771411
Blizzard,2,33939.94736842105,109.34210526315789,0.993231640387393
Blizzard,4,33792.00462962963,1249.4814814814815,0.9589857956827091
Blizzard,6,31166.849019607842,4455.13137254902,0.8708647071217691
Blizzard,8,27916.06875,9912.769791666668,0.7345141802457323
Blizzard,10,21653.985555555555,15656.097777777777,0.5774910505393496
Blizzard,12,16486.409523809525,22495.513095238097,0.4210679276163489
Blizzard,14,11579.969230769231,28785.55,0.28574810617281976
Blizzard,16,7581.509722222222,34776.330555555556,0.17815790036648818
Blizzard,18,4928.207575757576,43205.36818181818,0.1018607117467877
Blizzard,20,2865.2883333333334,51703.58666666667,0.052360102598287064
