,time,unlimited_inflight,unlimited_inflight_no_timeout,40_inflight
0,30,4028.022222222222,4608.222222222222,4903.555555555556
1,60,363.09999999999997,4028.922222222222,4889.777777777778
2,90,3.888888888888889,1460.5333333333335,4687.555555555556
3,120,0.0,917.7555555555556,4527.111111111111
4,150,0.0,888.5333333333333,4708.888888888889
5,180,0.0,821.9,4538.222222222222
6,210,0.0,1067.9833333333333,4321.333333333333
7,240,0.0,1374.4333333333334,4605.777777777778
8,270,0.0,1512.1333333333332,4673.333333333333
9,300,0.0,1201.9833333333333,4575.555555555556
