,,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms,ecore_util,ecore_util
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
correct-config,crypto,num-nodes,,,,,,,,,,,,
blk_len=40+max_inflight_blk=2147483647,dummy,20,13098.773333333333,,17.793641,,0.00030929893963937635,,298.68562965348013,,0.011149959801239744,,0.5574264450422335,
blk_len=40+max_inflight_blk=2147483647,dummy,30,12537.266666666665,278.9408867683454,29.728827866666666,0.7743196955526919,0.0007608578281000371,6.32784571333989e-05,219.16828006973492,16.271850401825876,0.01430030944795057,0.0002390553809000135,0.5607021329238332,0.012116489357462666
blk_len=40+max_inflight_blk=2147483647,dummy,40,12097.431111111111,245.85965331043187,41.116486933333334,0.7814681384683679,0.0010031886366364032,0.00011756125060508361,220.32934563430672,5.969847536153666,0.019379871493352126,0.000567393844985818,0.5354417739666483,0.00409907645728148
blk_len=40+max_inflight_blk=2147483647,dummy,50,11225.508888888891,134.17689821580467,48.77809606666667,0.5187540308396018,0.001417412046322705,0.0001857675269309344,302.67411915391585,30.065944936330343,0.02477038506234133,0.0006635660228778719,0.44270798284455976,0.00882035738449151
blk_len=40+max_inflight_blk=2147483647,dummy,60,9259.973333333333,307.55546910724615,48.2754056,2.4775701610169922,0.0020067639429381845,0.00019654017208388416,190.20735269631783,13.41837757738363,0.02435257825105752,0.002236109509017466,0.3425587488595914,0.012373736785848952
blk_len=40+max_inflight_blk=2147483647,dummy,70,4523.504841518635,921.5351039848017,30.707227973354236,3.6143868655963804,0.46914164821808296,0.1366748488006854,1463.1209037180554,2315.077675248598,0.03393216697923382,0.0034521094734713364,0.2836212730555079,0.007743040108568912
blk_len=40+max_inflight_blk=2147483647,dummy,80,5905.331944444445,288.1795337694279,38.106634725,1.4690008033878055,0.2800218125141076,0.14005149663032182,119.40020326587647,13.198504334976922,0.01978385521369465,0.002037423846311442,0.256050965026741,0.007159508719003293
blk_len=40+max_inflight_blk=2147483647,dummy,90,4492.540740740741,366.51388240821376,35.23330266666667,2.3049845335245833,0.4722536803269177,0.13185687460465936,491.52236770530226,164.960111753917,0.025276810014945656,0.0033337187166397873,0.21343961996305402,0.008266112169058993
