,num-nodes,avg-chain-length,std-dev-chain-length,avg-stale-rate,std-dev-stale-rate
0,40,8.4,2.8284271247461903,0.01167,0.039412796479262796
1,60,12.05,3.4641016151377544,0.02455,0.040408877346705056
2,80,15.65,4.0,0.02804,0.050644315938139645
3,100,18.75,3.0,0.020734999999999996,0.030545949425673274
4,120,21.15,3.7416573867739413,0.026574999999999998,0.03763655662699288
5,140,26.6,3.3166247903554,0.052305000000000004,0.03875106076646568
6,160,30.1,5.0,0.063715,0.03604723910881971
7,180,33.0,5.656854249492381,0.073675,0.038938911332874644
8,200,36.65,5.0,0.071005,0.03503457652993082
9,220,38.4,5.916079783099616,0.09902,0.04194459503477866
10,240,42.95,6.557438524302,0.09268,0.02938676035582225
