,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms
,,mean,std,mean,std,mean,std,mean,std,mean,std
chain-type,num-nodes,,,,,,,,,,
avalanche,10,4654.385964912281,51.813858187525604,25.433148842105265,0.1660136836313368,3.662629659907368e-07,6.34386066026828e-07,4.8746427692307694,8.443128945055943,0.03934231613569297,0.0007483375950319849
avalanche,15,5332.0,269.7753337248695,38.63153468421053,0.46408972607117954,9.791712577356387e-08,8.964497341865616e-08,7.418311666666667,6.4495729728110165,0.04677609973280177,0.000679896672365614
avalanche,20,6768.233918128655,293.9521244037356,49.101724333333344,0.15757741300080466,2.5310942142857938e-05,2.955477924538297e-06,20.778090469219745,1.358496308011913,0.04515662949126831,0.0007972525479054222
avalanche,25,7560.397660818712,239.6784789328575,55.84552636842105,0.16053767727636364,8.749010003673694e-05,1.14302204822265e-05,41.87712405891009,24.99858514541973,0.054238156380795655,0.0004051352523376615
avalanche,30,7204.97134502924,316.87337259182976,64.08753496491228,0.13714700745673036,0.0001328404859664925,9.535488946836747e-06,62.18744120641994,10.625685897515915,0.0676903022154257,0.0014065933077200602
bitcoin,10,2795.26432748538,120.92623857097978,6.481221177192982,0.3496172154663248,0.0,0.0,0.0,0.0,0.03378132423604251,0.001014377595801002
bitcoin,15,3844.897660818713,260.3359462861324,11.900944596491229,1.0277667612386534,8.305080824671104e-05,8.752588440835235e-05,80.20993859999999,127.19481522294822,0.06452680818913482,0.0028383345858836177
bitcoin,20,4565.223391812865,186.00802221547164,21.24501119298246,0.7734792412624795,0.0,0.0,0.0,0.0,0.08385694666046246,0.00219393938026755
bitcoin,25,4743.399415204677,42.391147198783955,32.28029596491228,0.4902516983031397,4.957789400162327e-05,3.0508573788354734e-05,25.481196414473686,8.287592176672014,0.11846354032591193,0.0011499819622736419
bitcoin,30,5012.571929824561,192.92613426130063,46.88731528070175,2.6126243153957898,3.0557449795574395e-05,3.2427811797380755e-05,21.063535375,13.335882704529421,0.20847469116742953,0.01359622588421166
diem,10,8489.690058479531,5.034089189249365,6.625310321052631,0.09609118191043517,0.0,0.0,0.0,0.0,0.01981256228288578,0.00028373911964401505
diem,15,8437.374269005848,13.318948072473285,8.434485578947369,0.04329243371720364,0.0,0.0,0.0,0.0,0.04023917619667087,0.0005280418894890673
diem,20,8428.654970760233,28.028622387213087,10.154758105263157,0.1492893248794972,0.0,0.0,0.0,0.0,0.05656089609057514,0.0006863629115472161
diem,25,7940.374269005849,5.034089189249759,11.471802245614036,0.11775821561344084,0.0,0.0,0.0,0.0,0.07250648629919003,0.0007050493853841934
diem,30,7466.625730994153,13.31894807247435,12.810173850877193,0.19697598571171426,0.0,0.0,0.0,0.0,0.081194935101316,0.00040852806305179015
diem,35,7245.736842105263,8.719298245613913,13.980298789473684,0.15160366938927106,1.182179821372629e-05,2.047595514300093e-05,16.40421966666667,28.412941921187265,0.08968634962884038,0.0010037122461427253
diem,40,6838.836257309941,10.06817837849978,14.904947789473683,0.20116475314890692,0.0,0.0,0.0,0.0,0.10974450715426,0.003851747161683074
